SnSgM, Bhimpalasi
SnPGR, Gaud Malhar or Tilanga
SnPGM, Tilanga
SnPGP, Gaud Malhar
SnPMR, Vrindavani Sarang or Madmaad Sarang
SnPMG, Jog
SnPMM, Bairagi
SnPMP, Bairagi or Vrindavani Sarang or Dhani or Jog or Madmaad Sarang
SnPMr, Bairagi
SnPMg, Dhani
SnPgM, Bahaar or Darbari Kanada or Malhar or Nayaki Kanada or Ramadasimalhar or Shahanakanada
SnPmP, Madhukauns
SnPmg, Madhukauns
SnDMR, Gorakh Kalyan or Jinjhoti
SnDMG, Des or Rageshri or Jinjhoti
SnDMP, Bageshree or Des or Gorakh Kalyan or Soora Malhar or Jinjhoti
SnDMD, Bageshree or Bageshrikauns or Gorakh Kalyan or Parameshwari or Rageshri
SnDMg, Bageshree or Bageshrikauns or Parameshwari
SnDPG, Janasammohini or Kalavati
SnDPM, Ahir Bhairav or Barawa or Bhimpalasi or Jaijaivanti or Kafi or Khamaj or Soora Malhar
SnDPD, Ahir Bhairav or Barawa or Janasammohini or Kafi or Kalavati or Khamaj or Kolahas or Salag Varali or Saraswati or Soora Malhar or Sorath
SnDPN, Jaijaivanti or Soora Malhar or Sorath
SnDPg, Barawa or Bhimpalasi or Kolahas or Salag Varali
SnDPm, Saraswati
SnDPn, Bhimpalasi
SnDNS, Bahaar or Gaud Malhar or Malhar or Ramadasimalhar
SndMg, Malkauns
SndMd, Malkauns
SndPM, Bhairavi or Charukeshi
SndPg, Bhairavi or Jaunpuri
SndPd, Charukeshi or Jaunpuri
SndnS, Darbari Kanada
SndnP, Darbari Kanada
Sndnd, Darbari Kanada
RSRGM, Charukeshi or Chhayanat or Jaijaivanti or Ramadasimalhar
RSRGP, Bhoopali or Deshkar or Hansadhwani or Janasammohini or Shuddha Kalyan
RSRMP, Adana or Barawa or Vrindavani Sarang or Durga or Jaunpuri or Kafi or Madmaad Sarang or Nayaki Kanada or Soora Malhar or Sorath or Jinjhoti
RSRMD, Gorakh Kalyan
RSRMg, Darbari Kanada
RSRgM, Abhogi or Kirvani or Shahanakanada
RSRgP, Kolahas or Shivaranjani
RSRmP, Kamod or Saraswati or Shuddha Sarang or Shyam Kalyan
RSGRG, Bilawal
RSGMP, Bihag or Bihagda or Khamaj or Mand or Nand or Nat Bhairav or Tilanga
RSGMD, Rageshri
RSGMN, Hameer
RSGPN, Shankara
RSMRS, Jinjhoti
RSMRP, Gaud Malhar or Malhar
RSMGP, Kedar
RSMGm, Marubihag
RSMPn, Bahaar
RSDMg, Abhogi
RSDPG, Bhoopali or Deshkar or Kamod
RSDPM, Durga
RSDPg, Shivaranjani
RSNPG, Hansadhwani or Shankara
RSNDP, Bihag or Bihagda or Hameer or Kedar or Madhuvanti or Mand or Marubihag or Nand or Patadeep or Shuddha Kalyan or Shuddha Sarang or Shyam Kalyan or Yaman or Yaman Kalyan
RSNDm, Rajakalyan
RSNDn, Bilawal or Chhayanat
