
SRMPn, Adana or Barawa or Vrindavani Sarang or Des or Jaunpuri or Kafi or Madmaad Sarang or Nayaki Kanada or Soora Malhar or Sorath or Jinjhoti
SRMDS, Gorakh Kalyan
SRMDR, Gorakh Kalyan
SRMDM, Gorakh Kalyan
SRMDP, Gorakh Kalyan
SRMDD, Gorakh Kalyan
SRMDn, Gorakh Kalyan
SRMgS, Darbari Kanada
SRMgR, Barawa or Darbari Kanada or Kafi
SRMgM, Darbari Kanada
SRMgP, Darbari Kanada
SRMgg, Darbari Kanada
SRMgd, Darbari Kanada
SRMgn, Darbari Kanada
SRPMP, Gaud Malhar
SRPnD, Malhar
SRgRS, Abhogi or Jaijaivanti or Kirvani or Kolahas or Shivaranjani
SRgMS, Abhogi or Kirvani or Shahanakanada
SRgMR, Abhogi or Kirvani or Shahanakanada
SRgMM, Abhogi or Kirvani or Shahanakanada
SRgMP, Kirvani or Shahanakanada
SRgMD, Abhogi or Shahanakanada
SRgMN, Kirvani
SRgMr, Bhairavi
SRgMg, Abhogi or Kirvani or Shahanakanada
SRgMd, Bhairavi or Kirvani
SRgMn, Shahanakanada
SRgPS, Kolahas or Shivaranjani
SRgPR, Kolahas or Shivaranjani
SRgPP, Kolahas or Shivaranjani
SRgPD, Kolahas or Shivaranjani
SRgPg, Kolahas or Shivaranjani
SRgPn, Kolahas
SRgrS, Bhairavi
SRgrM, Bhairavi
SRgrP, Bhairavi
SRgrr, Bhairavi
SRgrg, Bhairavi
SRgrd, Bhairavi
SRgrn, Bhairavi
SRmRS, Saraswati
SRmPS, Kamod or Saraswati or Shuddha Sarang or Shyam Kalyan
SRmPR, Kamod or Saraswati or Shuddha Sarang or Shyam Kalyan
SRmPG, Kamod or Shyam Kalyan
SRmPM, Kamod or Shuddha Sarang or Shyam Kalyan
SRmPP, Kamod or Saraswati or Shuddha Sarang or Shyam Kalyan
SRmPD, Kamod or Saraswati or Shuddha Sarang or Shyam Kalyan
SRmPN, Kamod or Shuddha Sarang or Shyam Kalyan
SRmPm, Kamod or Saraswati or Shuddha Sarang or Shyam Kalyan
SRmPn, Saraswati
SGSRG, Tilakakamod
SGSMR, Jinjhoti
SGRSG, Bilawal
SGRSN, Bilawal
SGRGS, Bilawal or Des
SGRGR, Bilawal
SGRGG, Bilawal
SGRGM, Bilawal
SGRGP, Bilawal
SGRGD, Bilawal
SGRGN, Bilawal
SGRGn, Bilawal
SGRgR, Jaijaivanti
SGMRS, Hameer or Kamod or Nand or Shyam Kalyan
SGMGS, Bhinna Shadja
SGMGR, Bihag or Bihagda or Khamaj or Mand or Nat Bhairav or Rageshri or Tilanga or Yaman Kalyan
SGMGM, Bihag or Bihagda or Nand or Nat Bhairav or Ramakali or Tilanga
SGMGr, Ahir Bhairav or Bhairav or Paraj or Poorvi or Ramakali
SGMPS, Bihag or Bihagda or Jog or Khamaj or Mand or Nand or Nat Bhairav or Tilanga
SGMPR, Bihag or Bihagda or Khamaj or Mand or Nand or Nat Bhairav or Tilanga
SGMPG, Bihag or Bihagda or Jog or Khamaj or Mand or Nand or Nat Bhairav or Tilanga
SGMPM, Bihag or Bihagda or Jog or Khamaj or Mand or Nand or Nat Bhairav or Tilanga
SGMPP, Bihag or Bihagda or Jog or Khamaj or Mand or Nand or Nat Bhairav or Tilanga
SGMPD, Ahir Bhairav or Bihag or Bihagda or Khamaj or Mand or Nand
SGMPN, Bihag or Bihagda or Jaijaivanti or Mand or Nand or Nat Bhairav or Tilanga
SGMPg, Jog
SGMPm, Bihag or Chhayanat
SGMPd, Bhairav or Charukeshi or Kalingada or Nat Bhairav
SGMPn, Bihagda or Jog or Khamaj or Ramadasimalhar or Tilanga
SGMDS, Bhinna Shadja or Rageshri
SGMDR, Rageshri
SGMDG, Bhinna Shadja or Rageshri
SGMDM, Bhinna Shadja or Rageshri
SGMDP, Nand
SGMDD, Bhinna Shadja or Rageshri
SGMDN, Bhinna Shadja or Nand
SGMDn, Rageshri
SGMNS, Hameer
SGMNR, Hameer
SGMNG, Hameer
SGMNM, Hameer
SGMNP, Hameer
SGMND, Hameer
SGMNN, Hameer
SGMNm, Hameer
SGMdS, Jogkauns or Ramakali
SGMdG, Jogkauns or Ramakali
SGMdM, Jogkauns or Ramakali
SGMdP, Jogkauns or Ramakali
SGMdN, Jogkauns or Ramakali
SGMdr, Ramakali
SGMdg, Jogkauns
SGMdm, Ramakali
SGMdd, Jogkauns or Ramakali
SGMdn, Jogkauns or Ramakali
SGPRS, Shankara
SGPRG, Shankara
SGPGS, Kalavati
SGPGP, Shankara
SGPGr, Bhatiyar
SGPMg, Barawa
SGPDS, Bhoopali or Deshkar or Jait or Kalavati or Shuddha Kalyan
SGPDG, Kalavati
SGPDP, Gaud Malhar or Kalavati
SGPDD, Kalavati
SGPDN, Bilawal
SGPDn, Janasammohini or Kalavati
SGPNS, Hansadhwani or Shankara
SGPNR, Shankara
SGPNG, Shankara
SGPNP, Shankara
SGPND, Shankara
SGPNN, Shankara
SGPmP, Kedar
SGPdS, Bibhas
SGmGS, Amritvarshini or Hindol
